Nr Name Description Tipo
1 MOSTYPE Customer_Subtype_L0 cat
2 MAANTHUI Number_of_houses_1_to_10 n
3 MGEMOMV Avg_size_household_1_to_6 n
4 MGEMLEEF Avg_age_L1 cat
5 MOSHOOFD Customer_main_type_L2 cat
6 MGODRK Roman_catholic_L3 cat
7 MGODPR Protestant cat
8 MGODOV Other_religion cat
9 MGODGE No_religion cat
10 MRELGE Married cat
11 MRELSA Living_together cat
12 MRELOV Other_relation cat
13 MFALLEEN Singles cat
14 MFGEKIND Household_without_children cat
15 MFWEKIND Household_with_children cat
16 MOPLHOOG High_level_education cat
17 MOPLMIDD Medium_level_education cat
18 MOPLLAAG Lower_level_education cat
19 MBERHOOG High_status cat
20 MBERZELF Entrepreneur cat
21 MBERBOER Farmer cat
22 MBERMIDD Middle_management cat
23 MBERARBG Skilled_labourers cat
24 MBERARBO Unskilled_labourers cat
25 MSKA Social_class_A cat
26 MSKB1 Social_class_B1 cat
27 MSKB2 Social_class_B2 cat
28 MSKC Social_class_C cat
29 MSKD Social_class_D cat
30 MHHUUR Rented_house cat
31 MHKOOP Home_owners cat
32 MAUT1 1_car cat
33 MAUT2 2_cars cat
34 MAUT0 No_car cat
35 MZFONDS National_Health_Service cat
36 MZPART Private_health_insurance cat
37 MINKM30 Income_<_30.000 cat
38 MINK3045 Income_30-45.000 cat
39 MINK4575 Income_45-75.000 cat
40 MINK7512 Income_75-122.000 cat
41 MINK123M Income_>123.000 cat
42 MINKGEM Average_income cat
43 MKOOPKLA Purchasing_power_class cat
44 PWAPART Contribution_private_third_party_insurance_L4 cat
45 PWABEDR Contribution_third_party_insurance_(firms) cat
46 PWALAND Contribution_third_party_insurane_(agriculture) cat
47 PPERSAUT Contribution_car_policies cat
48 PBESAUT Contribution_delivery_van_policies cat
49 PMOTSCO Contribution_motorcycle/scooter_policies cat
50 PVRAAUT Contribution_lorry_policies cat
51 PAANHANG Contribution_trailer_policies cat
52 PTRACTOR Contribution_tractor_policies cat
53 PWERKT Contribution_agricultural_machines_policies cat
54 PBROM Contribution_moped_policies cat
55 PLEVEN Contribution_life_insurances cat
56 PPERSONG Contribution_private_accident_insurance_policies cat
57 PGEZONG Contribution_family_accidents_insurance_policies cat
58 PWAOREG Contribution_disability_insurance_policies cat
59 PBRAND Contribution_fire_policies cat
60 PZEILPL Contribution_surfboard_policies cat
61 PPLEZIER Contribution_boat_policies cat
62 PFIETS Contribution_bicycle_policies cat
63 PINBOED Contribution_property_insurance_policies cat
64 PBYSTAND Contribution_social_security_insurance_policies cat
65 AWAPART Number_of_private_third_party_insurance_1_to_12 n
66 AWABEDR Number_of_third_party_insuranc_(firms) n
67 AWALAND Number_of_third_party_insurane_(agriculture) n
68 APERSAUT Number_of_car_policies n
69 ABESAUT Number_of_delivery_van_policies n
70 AMOTSCO Number_of_motorcycle/scooter_policies n
71 AVRAAUT Number_of_lorry_policies n
72 AAANHANG Number_of_trailer_policies n
73 ATRACTOR Number_of_tractor_policies n
74 AWERKT Number_of_agricultural_machines_policies n
75 ABROM Number_of_moped_policies n
76 ALEVEN Number_of_life_insurances n
77 APERSONG Number_of_private_accident_insurance_policies n
78 AGEZONG Number_of_family_accidents_insurance_policies n
79 AWAOREG Number_of_disability_insurance_policies n
80 ABRAND Number_of_fire_policies n
81 AZEILPL Number_of_surfboard_policies n
82 APLEZIER Number_of_boat_policies n
83 AFIETS Number_of_bicycle_policies n
84 AINBOED Number_of_property_insurance_policies n
85 ABYSTAND Number_of_social_security_insurance_policies n
86 CARAVAN Number_of_mobile_home_policies_0_to_1 n
